Genre,identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,Région de votre entreprise d'accueil,"Durant vos études, vous avez bénéficié d'aménagements de scolarité liés à un handicap, ou vous vous êtes déclaré en situation d'handicap auprès de votre établissement",filiere,situation_actuelle,"'Sans activité volontairement', merci de préciser :",Vous occupez plusieurs emplois?,en_recherche_emploi,refus_emploi,difficultes_recherche,Concours préparé(s),alternance,Durée du contrat de volontariat (en mois) ,Montant brut annuel HORS PRIME de l'allocation que vous percevez,Quel est le poste que vous occupez?,Votre courriel professionnel :,Quel est le nom de votre entreprise / projet?,Pays de localisation de la future entreprise?,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_premier_emploi,pays_localisation,Vous travaillez,mois_emploi_occupe,Combien de jours par semaine êtes-vous en télétravail ? ,nom_entreprise,"Adresse ( numero, rue, avenue..)de l'entreprise",Code postal de l'entreprise,Commune de l'entreprise, Son site internet?,Nombre de salarié(e)s de votre entreprise(cellei qui vous rémunère),entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,Quel est le secteur d'activité de votre entreprise (celle qui vous rémunère)?,domaine_general_entreprise,langage_programmation,emploi_lie_energie_renouvelable,salaire_annuel_brut,prime,salaire_annuel_brut_prime,responsabilite_hierarchie,responsabilite_budget,Responsabilités exercées [Vous avez la responsabilité fonctionnelle  d'une équipe ?],responsabilite ,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,Les éléments suivants vous semblent-ils avoir joué un rôle dans votre recrutement? [Stage de 5ème année /Contrat de professionnalisation],recherche_nouvel_emploi,raisons_recherche_emploi,situation_sortie_polytech,Concours préparé(s)5,Pays ou territoire du volontariat6,Nom et coordonnées de l'entreprise partenaire7,Le laboratoire est-il localisé?8,Région de localisation du laboratoire9,Pays de localisation du laboratoire?10,Lequel ou lesquels?11,Le site web s'il existe?12,temps_trouve_premier_emploi,post_premier_emploi,Aviez-vous un statut de :,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,Dans quelle région?13,nom_entreprise_premier_emploi,"Adresse ( numero, rue, avenue..)de l'entreprise14",Code postal de l'entreprise15,Commune de l'entreprise16,taille_entreprise_premier_emploi,premiere_entreprise_groupe,Lequel?17,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,Les éléments suivants vous semblent-ils avoir joué un rôle dans votre recrutement sur ce 1er emploi? [Stage de 5ème année/Contrat de professionnalisation],satisfaction_premier_emploi,La situation sanitaire a-t-elle eu un impact pour vous ?,Merci de préciser les raisons,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,Laquelle?,Souhaitez vous être informé sur l' association des diplômés de Polytech (Polytech Connect)?,recommandation_polytech
Femme,1794332416683640,Oui,,2020,Formation initiale (hors apprentissage),,Non,Matériaux (MAT),En poursuite d'études (hors thèse),,,,,,,non,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Difficulté pour le stage de fin d'études,5.0,,,,Oui,Oui
Femme,1794282911392610,Oui,,2019,Formation initiale (hors apprentissage),,Non,Génie Biologique et Agroalimentaires (GBA),En recherche emploi,,,Oui,Oui,Mobilité géographique difficile,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Moins d'offres d'emploi,5.0,,,,Oui,Oui
Homme,1882921164844020,Oui,,2020,Sous contrat d'apprentissage,Auvergne-Rhône-Alpes,Non,Eau et Génie Civil (EGC - apprentissage),"En volontariat (VIE, VIA, Volontariat civil..)",,,,,,,,16,32000.0,Ingénieur projet assainissement,jseguis@cabinet-merlin.fr,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,4.0,,,,Oui,Oui
Homme,1789312834937740,Oui,,2018,Formation initiale (hors apprentissage),,Non,Mécanique et Interactions (MI),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,À temps plein,14.0,0.0,Institut de Soudure Industrie,"90 Boulevard de la Mérindole, 13110 Port-de-Bouc",13110,Port-de-Bouc,https://www.isgroupe.com/,250 à  4 999 salarié(e)s ,Oui,Groupe Institut de Soudure ,Etudes - Conseil et expertise (autre qu'informatique),Chargé d'affaires Expertise Conseils Conception Calcul,Oui,Industrie chimique,,,,35000.0,Non,35000.0,NON,NON,OUI,OUI,Oui,Quotidiennement,Très rarement,De 2 à moins de 3 mois,Relations personnelles,Le contenu de la mission / poste proposé,oui,non,4.0,4.0,5.0,3.0,4.0,5.0,2.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Missions modifiées,5.0,,,,Oui,Oui
Homme,1783106098956790,Oui,,2020,Formation initiale (hors apprentissage),,Non,Sciences et Technologies de l'Eau (STE),En poursuite d'études (hors thèse),,,,,,,non,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Formation annulée ou reportée,4.0,,,,Oui,Oui
Femme,1894332193454220,Oui,,2020,Formation initiale (hors apprentissage),,Non,Matériaux (MAT),En poursuite d'études (hors thèse),,,,,,,non,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Annulation d'embauche|Moins d'offres d'emploi,4.0,,,,Non,Oui
Homme,1882874459931870,Oui,,2019,Sous contrat d'apprentissage,Provence-Alpes-Côte d'Azur,Non,Systèmes Embarqués (SE - apprentissage),En recherche emploi,,,Oui,Oui,Mobilité géographique difficile,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Mobilité géographique compliquée|Changement de projet professionnel,4.0,,,,Non,Oui
Homme,1789086607195970,Oui,,2018,Formation initiale (hors apprentissage),,Non,Matériaux (MAT),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps plein,28.0,0.0,Elex,836 rue du mas de verchant ,34000,Montpellier ,http://www.adenes.fr,250 à  4 999 salarié(e)s ,Oui,Adenes ,Etudes - Conseil et expertise (autre qu'informatique),Expert bâtiment ,Oui,Activités financières et d'assurance,Divers,,,32400.0,Oui,33400.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),,Site Internet spécialisé dans l'emploi (dont APEC),Le lieu géographique ,oui,non,4.0,4.0,4.0,3.0,3.0,5.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,3.0,,,,Oui,Oui
Homme,1788410676370390,Oui,,2019,Sous contrat de professionalisation,,Non,Matériaux (MAT),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps plein,18.0,1.0,Specific Polymers,150 avenue des Cocardières,34160,Castries,https://specificpolymers.com/,De 20 à 49 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur de recherche,Non,Industrie chimique,Elaboration et caractérisation des matériaux,,,25000.0,Oui,26500.0,NON,NON,NON,NON,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),,Stage année césure / Contrat de professionnalisation,L'adéquation avec un projet professionnel ,oui,oui,5.0,5.0,5.0,3.0,5.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,5.0,,,,Oui,Oui
Homme,1767833322084940,Oui,,2019,Formation initiale (hors apprentissage),,Non,Informatique et Gestion (IG),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,A l'étranger,,Royaume-Uni,À temps plein,18.0,5.0,ShopStyle,77 new cavendish street ,w1w 6xb,London,https://about.shopstyle.com/,De 50 à 249 salarié(e)s ,Oui,Rakuten,Exploitation / maintenance informatique ,Software Engineer,Oui,"Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure",,,,45620.0,Non,45620.0,NON,NON,NON,OUI,Oui,Rarement (quelques fois par mois),Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,Réseaux des anciens /association des anciens (polytech Connect),Les perspectives de carrière dans cette entreprise,oui,oui,5.0,5.0,5.0,3.0,4.0,4.0,1.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,3.0,NON,NON,,Non,Oui
Homme,1798760227709390,Oui,,2018,Formation initiale (hors apprentissage),,Non,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,À temps plein,29.0,0.0,SCIRPE,5 allée Alban Vistel,69110,Sainte Foy lès Lyon,http://www.scirpe.fr/,De 10 à 19 salarié(e)s ,Non,,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur d'études,Oui,"Construction, BTP",,,,36000.0,Oui,40000.0,OUI,NON,NON,OUI,Non,Quotidiennement,Très rarement,,Plateforme emploi de l'école (Poly+),L'adéquation avec un projet professionnel ,oui,oui,4.0,4.0,5.0,4.0,2.0,5.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Chômage partiel / Réduction d'activité,4.0,,,,Oui,Oui
Femme,1782455254024230,Oui,,2019,Sous contrat d'apprentissage,Occitanie,Non,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps plein,13.0,1.0,Veolia eau - Eau de Nimes Metropole,1349 avenue jouit Curie Nimes,30900,Nimes,,De 50 à 249 salarié(e)s ,Oui,Veolia ,Production - Exploitation ,Ingénieur chargé d'études et de projets réseaux ,Oui,"Production et distribution d'eau assainissement, gestion des déchets et dépollution",,,,31140.0,Oui,31140.0,OUI,NON,NON,OUI,Non,Quotidiennement,Jamais,,Stage année césure / Contrat de professionnalisation,Les perspectives de carrière dans cette entreprise,oui,oui,5.0,5.0,5.0,3.0,5.0,2.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,4.0,,,,Oui,Oui
Homme,1782390418773570,Oui,,2020,Sous contrat d'apprentissage,Auvergne-Rhône-Alpes,Non,Mécanique Structures Industrielles (MSI - apprentissage),En poursuite d'études (hors thèse),,,,,,,Oui,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,4.0,,,,Non,Oui
Femme,1783036913564170,Oui,,2020,Sous contrat de professionalisation,,Non,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps plein,7.0,5.0,Altran,,34470,,https://www.altran.com/fr/fr/,5 000 salarié(e)s ou plus,Oui,Capgemini,Gestion des essais cliniques (pharmaceutique),Demand Planning Specialist,Oui,Industrie pharmaceutique,,,,34000.0,Oui,36000.0,NON,OUI,OUI,OUI,Oui,Quotidiennement,Quotidiennement,,Stage année césure / Contrat de professionnalisation,Le secteur d'activité de l'entreprise,oui,non,4.0,4.0,3.0,4.0,3.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail,4.0,,,,Oui,Oui
Homme,1789471841659060,Oui,,2019,Formation initiale (hors apprentissage),,Non,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),18.0,En France,Occitanie,,À temps plein,14.0,4.0,EGIS Eau,889 Rue de la Vieille Poste,34965,MONTPELLIER,https://www.egis.fr/activites/eau,5 000 salarié(e)s ou plus,Oui,EGIS GROUP,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur chargé d'études,Oui,"Production et distribution d'eau assainissement, gestion des déchets et dépollution",,,,29500.0,Oui,32000.0,OUI,NON,NON,OUI,Oui,Quotidiennement,Rarement (quelques fois par mois),,stage de fin d'études,La notoriété de l'entreprise ,oui,oui,4.0,3.0,5.0,4.0,5.0,4.0,5.0,Oui,Charge de travail beaucoup trop conséquente et pression constante. Volonté de me rediriger vers un emploi plus étroitement lié à l'écologie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail,4.0,,,,Oui,Oui
Femme,1788409475662410,Oui,,2020,Sous contrat de professionalisation,,Non,Génie Biologique et Agroalimentaires (GBA),En recherche emploi,,,Oui,Non,Manque d'expérience professionnelle|Difficulté à mettre en valeur mes compétences|Peu d'offres d'emploi,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Annulation d'embauche|Moins de propositions de recrutement|Moins d'offres d'emploi,4.0,,,,Oui,Oui
Homme,1906657240786900,Oui,,2018,Sous contrat d'apprentissage,Provence-Alpes-Côte d'Azur,Non,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,Non,,,,,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,A l'étranger,,Royaume-Uni,À temps plein,1.0,0.0,CNIM,Zone Portuaire de Brégaillon,83500,La Seyne-Sur-Mer,https://cnim.com/,250 à  4 999 salarié(e)s ,Oui,CNIM,Production - Exploitation ,Coordonnateur Génie Civil,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,,,36000.0,Oui,40000.0,NON,OUI,NON,OUI,Oui,Quotidiennement,Quotidiennement,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Le contenu de la mission / poste proposé,oui,oui,5.0,4.0,5.0,5.0,4.0,3.0,5.0,Non,,"Volontariat (VIE, VIA..)",,Royaume-Uni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail,5.0,,,,Oui,Oui
Femme,1782910866773040,Oui,,2019,Formation initiale (hors apprentissage),,Non,Génie Biologique et Agroalimentaires (GBA),En recherche emploi,,,Non,Non,Manque d'expérience professionnelle|Peu d'offres d'emploi,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poursuite d'études (hors thèse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Moins d'offres d'emploi|Formation annulée ou reportée,4.0,,,,Oui,Oui
Homme,1783103600401140,Oui,,2019,Formation initiale (hors apprentissage),,Non,Informatique et Gestion (IG),En création d'entreprise /reprise d'entreprise,,,,,,,,,,,,,,Oui,,,,A l'étranger,,Pays-Bas,À temps plein,11.0,0.0,Lox Solution B.V.,"Stationsplein 45, A4.004",3013 AK,Rotterdam,https://www.loxsolution.com, Moins de 10 salarié(e)s ,Non,,Informatique industrielle et technique ,CTO,Oui,Activités informatiques et services d'information (TIC services),,,,,Non,,OUI,OUI,OUI,OUI,Oui,Souvent (plusieurs heures par semaine),Quotidiennement,Moins d'un mois,J'ai créé / repris une entreprise,J'ai créé / repris mon entreprise,oui,oui,5.0,2.0,5.0,1.0,5.0,5.0,5.0,Non,,activité professionnelle,,,,,,,,,6 mois ou plus,Salarié(e) du secteur privé (y compris structure associative),,CDD (contrat de travail à durée déterminée),"Démission, vous aviez une autre proposition de contrat",Lead Supply Chain Analyst,A l'étranger,,Helloprint,Schiedamse Vest 89,3012,Rotterdam,De 50 à 249 salarié(e)s ,Non,,"Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...)",13.0,Non,Non,Stage de fin d'études,Les perspectives de croissance de l'entreprise,30000.0,Oui,33800.0,5.0,2.0,Oui,Recours au télétravail|Mobilité géographique compliquée|Changement de projet professionnel,5.0,OUI,NON,,Oui,Oui
Homme,1988410468693410,Oui,,2020,Sous contrat d'apprentissage,Provence-Alpes-Côte d'Azur,Non,Mécanique Structures Industrielles (MSI - apprentissage),En poursuite d'études (hors thèse),,,,,,,Oui,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,4.0,,,,Non,Oui
Femme,1776242025600950,Oui,,2019,Formation initiale (hors apprentissage),,Non,Mécanique et Interactions (MI),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps plein,18.0,0.0,T.zic,"Cap Alpha, 9 avenue de L'Europe",34830,Clapiers,https://tzic.fr/,De 20 à 49 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chef de projet R&D,Oui,"Production et distribution d'eau assainissement, gestion des déchets et dépollution",,,,31180.0,Non,31180.0,NON,NON,OUI,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,Les perspectives de carrière dans cette entreprise,oui,oui,3.0,3.0,5.0,4.0,5.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail,5.0,,,,Oui,Oui
Homme,1794680911303500,Oui,,2018,Formation initiale (hors apprentissage),,Non,Mécanique et Interactions (MI),En activité professionnelle,,Non,,,,,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),Intérim avant CDI car discussions en cours (+covid),,En France,Auvergne-Rhône-Alpes,,À temps plein,20.0,0.0,Sacmi (groupe POMA),396 route des chênes,73200,Gilly sur Isère,http://www.poma.net,De 50 à 249 salarié(e)s ,Oui,HTI,"Méthodes, contrôle de production, maintenance",Ingénieur Soudeur IWE,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,,,42000.0,Oui,45600.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),,Apprentissage (embauche dans l'entreprise d'accueil du contrat),L'adéquation avec un projet professionnel ,oui,oui,5.0,5.0,5.0,5.0,4.0,5.0,5.0,Non,,Poursuite d'études (hors thèse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Report de signature de contrat / Report d'embauche|Prétention salariale revue,5.0,,,,Oui,Oui
Homme,1782921165310560,Oui,,2018,Sous contrat d'apprentissage,Occitanie,Non,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,À temps plein,6.0,3.0,ASSYSTEM,2 rue du pont noir,26700,PIERRELATTE,http://www.assystem.com,5 000 salarié(e)s ou plus,Oui,ASSYSTEM AEOS,"Maîtrise d'&oelig,uvre ",Ingénieur projets,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,,,36000.0,Oui,38000.0,NON,OUI,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,Relations personnelles,La politique globale de relations humaines dans l'entreprise ,oui,oui,5.0,5.0,5.0,5.0,5.0,4.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail,5.0,,,,Oui,Oui
Homme,1782327117638330,Oui,,2020,Sous contrat d'apprentissage,Provence-Alpes-Côte d'Azur,Non,Mécanique Structures Industrielles (MSI - apprentissage),En recherche emploi,,,Non,Non,Mon contrat se termine à la fin de ma période d'essai (1er avril 2021). Je suis en recherche d'emploi,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activité professionnelle,,,,,,,,,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur public,Agent contractuel,CDI (contrat de travail à durée indéterminée),"Démission, sans autre proposition de contrat",ingénieur calcul,En France,Provence-Alpes-Côte d'Azur,groupe adf,"CHEM Bastide Blanche, 13127 Vitrolles",13127,vitrolles,250 à  4 999 salarié(e)s ,Oui,groupe adf,Industrie chimique,6.0,Oui,Non,Apprenti(e) : Embauché(e) par l'entreprise d'apprentissage,Autre,32000.0,Non,32000.0,,1.0,Non,,5.0,,,,Oui,Oui
Femme,1888404796843130,Oui,,2019,Formation initiale (hors apprentissage),,Non,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) du secteur public,CDD (contrat de travail à durée déterminée),6.0,En France,Nouvelle-Aquitaine,,À temps plein,4.0,0.0,Communauté de Communes de Montesquieu,1 allée Jean Rostand,33650,Martillac,https://www.cc-montesquieu.fr,De 50 à 249 salarié(e)s ,Non,,Maîtrise d'ouvrage ,Technicien Hydraulique ,Non,"Administration d'État, Collectivités territoriales, Hospitalière",,,,,Non,,NON,NON,NON,OUI,Non,Quotidiennement,Très rarement,Moins d'un mois,Relations personnelles,L'absence d'alternative,non,oui,3.0,4.0,4.0,2.0,3.0,2.0,3.0,Oui,Pour avoir une alternative si mon contrat n'est pas renouveler. Pour bénéficier d'un salaire plus intéressant et acquérir une expérience professionnelle plus riche. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Chômage partiel / Réduction d'activité,4.0,,,,Oui,Oui
Homme,1782529474340130,Oui,,2020,Formation initiale (hors apprentissage),,Non,Matériaux (MAT),En recherche emploi,,,Oui,Non,Mobilité géographique difficile|Peu d'offres d'emploi,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Moins de propositions de recrutement|Moins d'offres d'emploi,5.0,,,,Oui,Oui
Femme,1788516768288100,Oui,,2020,Formation initiale (hors apprentissage),,Non,Sciences et Technologies de l'Eau (STE),En recherche emploi,,,Oui,Non,Manque d'expérience professionnelle|Peu d'offres d'emploi,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Missions modifiées|Chômage partiel / Réduction d'activité|Moins de propositions de recrutement|Moins d'offres d'emploi|Difficulté pour le stage de fin d'études,4.0,,,,Oui,Oui
Homme,1789582890113650,Oui,,2019,Sous contrat d'apprentissage,Occitanie,Non,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,À temps plein,17.0,0.0,Som industrie,12 bis rue vaucanson zac,13500,Martigues,https://ortec-group.com/agences/som-industrie-martigues/,De 50 à 249 salarié(e)s ,Oui,Ortec,"Méthodes, contrôle de production, maintenance",Ingénieur projet,Oui,Industrie chimique,,,,32000.0,Oui,35000.0,OUI,NON,OUI,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,Réseaux des anciens /association des anciens (polytech Connect),Le secteur d'activité de l'entreprise,oui,oui,4.0,5.0,5.0,3.0,3.0,5.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,"Modification des méthodes de travail (masque, distanciation sociale,...)",3.0,,,,Non,Non
Femme,1783100970982130,Oui,,2018,Sous contrat d'apprentissage,Auvergne-Rhône-Alpes,Non,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,À temps plein,28.0,3.0,Bureau Veritas Exploitation," Parc Activités de Sacuny, 400 rue Barthélémy Thimonnier, 69530 Brignais",69960,Brignais,https://group.bureauveritas.com/,5 000 salarié(e)s ou plus,Oui,Bureau Veritas,Inspection dans le nucléaire,Chargée d'affaire approvisionnement,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,,,39000.0,Oui,39000.0,NON,OUI,NON,OUI,Oui,Quotidiennement,Très rarement,,Relations personnelles,Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,4.0,4.0,5.0,4.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Formation annulée ou reportée,5.0,,,,Non,Oui
Homme,1789138902924160,Oui,,2019,Formation initiale (hors apprentissage),,Non,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Hauts-de-France,,À temps plein,7.0,0.0,Altereo,Rue René Cassin,62223,Saint Laurent Blangy,http://www.g2c.fr,De 50 à 249 salarié(e)s ,Oui,Altereo,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur d'études,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,29000.0,Oui,30000.0,NON,NON,NON,NON,Non,Quotidiennement,Très rarement,,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,4.0,3.0,5.0,1.0,4.0,3.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Mobilité géographique compliquée|Report de signature de contrat / Report d'embauche|Moins de propositions de recrutement|Moins d'offres d'emploi,4.0,,,,Oui,Oui
Femme,1793838299424030,Oui,,2019,Sous contrat d'apprentissage,Occitanie,Non,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps plein,17.0,0.0,CABINET MERLIN,,34740,VENDARGUES,,De 10 à 19 salarié(e)s ,Oui,GROUPE MERLIN,Etudes - Conseil et expertise (autre qu'informatique),Responsable de projet,Oui,"Construction, BTP",,,,28800.0,Oui,34000.0,OUI,NON,NON,OUI,Non,Quotidiennement,Jamais,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,5.0,2.0,5.0,5.0,0.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,4.0,,,,Non,Oui
